path_plotr,component,region,dataset_dash,dataset_id,src_datasets
macrofauna_NE.Rmd-agg-bio.R,macrofauna,NE,agg-bio,agg_bio,NA
macrofauna_MAB.Rmd-aggregate-biomass.R,macrofauna,MAB,aggregate-biomass,aggregate_biomass,TRUE
macrofauna_NE.Rmd-aggregate-biomass.R,macrofauna,NE,aggregate-biomass,aggregate_biomass,TRUE
human_dimensions_MAB.Rmd-aquaculture.R,human_dimensions,MAB,aquaculture,aquaculture,TRUE
human_dimensions_NE.Rmd-aquaculture.R,human_dimensions,NE,aquaculture,aquaculture,TRUE
human_dimensions_NE.Rmd-aquaculture-pa.R,human_dimensions,NE,aquaculture-pa,aquaculture_pa,NA
human_dimensions_NE.Rmd-aquaculture-pieces.R,human_dimensions,NE,aquaculture-pieces,aquaculture_pieces,NA
human_dimensions_MAB.Rmd-bennet.R,human_dimensions,MAB,bennet,bennet,TRUE
human_dimensions_NE.Rmd-bennet.R,human_dimensions,NE,bennet,bennet,TRUE
human_dimensions_MAB.Rmd-bennet-all.R,human_dimensions,MAB,bennet-all,bennet_all,NA
human_dimensions_NE.Rmd-bennet-all.R,human_dimensions,NE,bennet-all,bennet_all,NA
human_dimensions_MAB.Rmd-bennet-table.R,human_dimensions,MAB,bennet-table,bennet_table,NA
human_dimensions_MAB.Rmd-bennet2.R,human_dimensions,MAB,bennet2,bennet2,NA
human_dimensions_NE.Rmd-bennet2.R,human_dimensions,NE,bennet2,bennet2,NA
macrofauna_MAB.Rmd-blue-runner.R,macrofauna,MAB,blue-runner,blue_runner,TRUE
LTL_MAB.Rmd-bottom-temp.R,LTL,MAB,bottom-temp,bottom_temp,TRUE
LTL_NE.Rmd-bottom-temp.R,LTL,NE,bottom-temp,bottom_temp,TRUE
LTL_NE.Rmd-bottom-temp-gb.R,LTL,NE,bottom-temp-gb,bottom_temp_gb,NA
LTL_MAB.Rmd-bottom-temp-glorys.R,LTL,MAB,bottom-temp-glorys,bottom_temp_glorys,TRUE
LTL_NE.Rmd-bottom-temp-glorys.R,LTL,NE,bottom-temp-glorys,bottom_temp_glorys,TRUE
LTL_NE.Rmd-bottom-temp-gom.R,LTL,NE,bottom-temp-gom,bottom_temp_gom,NA
LTL_MAB.Rmd-calanus-stage.R,LTL,MAB,calanus-stage,calanus_stage,TRUE
LTL_MAB.Rmd-ch-bay-sal.R,LTL,MAB,ch-bay-sal,ch_bay_sal,TRUE
LTL_MAB.Rmd-ch-bay-temp.R,LTL,MAB,ch-bay-temp,ch_bay_temp,TRUE
LTL_MAB.Rmd-ches-bay-wq.R,LTL,MAB,ches-bay-wq,ches_bay_wq,TRUE
LTL_MAB.Rmd-chl-monthly.R,LTL,MAB,chl-monthly,chl_monthly,NA
LTL_NE.Rmd-chl-monthly.R,LTL,NE,chl-monthly,chl_monthly,NA
NA,NA,NA,NA,chl_pp,TRUE
LTL_NE.Rmd-chl-pp-anom.R,LTL,NE,chl-pp-anom,chl_pp_anom,NA
LTL_MAB.Rmd-chl-weekly.R,LTL,MAB,chl-weekly,chl_weekly,NA
LTL_NE.Rmd-chl-weekly.R,LTL,NE,chl-weekly,chl_weekly,NA
NA,NA,NA,NA,coast,TRUE
LTL_MAB.Rmd-cold_pool.R,LTL,MAB,cold_pool,cold_pool,TRUE
LTL_MAB.Rmd-cold_pool_map.R,LTL,MAB,cold_pool_map,cold_pool_map,NA
LTL_MAB.Rmd-cold_pool_map2.R,LTL,MAB,cold_pool_map2,cold_pool_map2,NA
NA,NA,NA,NA,cold_pool_sf,TRUE
NA,NA,NA,NA,comdat,TRUE
human_dimensions_MAB.Rmd-comdat-comm-revenue.R,human_dimensions,MAB,comdat-comm-revenue,comdat_comm_revenue,NA
human_dimensions_NE.Rmd-comdat-comm-revenue.R,human_dimensions,NE,comdat-comm-revenue,comdat_comm_revenue,NA
human_dimensions_MAB.Rmd-comdat-commercial-landings.R,human_dimensions,MAB,comdat-commercial-landings,comdat_commercial_landings,NA
human_dimensions_NE.Rmd-comdat-commercial-landings.R,human_dimensions,NE,comdat-commercial-landings,comdat_commercial_landings,NA
human_dimensions_NE.Rmd-comdat-commercial-landings-gb.R,human_dimensions,NE,comdat-commercial-landings-gb,comdat_commercial_landings_gb,NA
